# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0018
# Reynolds number,120000
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-2.000000000000000000e+01 -1.044646620750427246e+00 2.851505577564239502e-02 -1.127660553902387619e-02 -3.247787952423095703e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.000000000000000000e+01 -1.044646620750427246e+00 2.851505577564239502e-02 -1.127660553902387619e-02 -3.247787952423095703e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.900000000000000355e+00 -1.042495489120483398e+00 2.821112051606178284e-02 -9.848955087363719940e-03 -3.223944425582885742e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.800000000000000711e+00 -1.034802436828613281e+00 2.793722972273826599e-02 -9.357186034321784973e-03 -3.184908151626586914e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.699999999999999289e+00 -1.030545473098754883e+00 2.768675237894058228e-02 -8.268526755273342133e-03 -3.154734849929809570e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.599999999999999645e+00 -1.028966546058654785e+00 2.741945907473564148e-02 -6.714312359690666199e-03 -3.132125616073608398e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.500000000000000000e+00 -1.022167563438415527e+00 2.713632956147193909e-02 -6.063102278858423233e-03 -3.095825910568237305e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.400000000000000355e+00 -1.017185449600219727e+00 2.690067328512668610e-02 -5.083588883280754089e-03 -3.064222574234008789e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.300000000000000711e+00 -1.014625310897827148e+00 2.665435709059238434e-02 -3.680427093058824539e-03 -3.039837598800659180e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.199999999999999289e+00 -1.009444355964660645e+00 2.638464607298374176e-02 -2.737660193815827370e-03 -3.008903741836547852e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.099999999999999645e+00 -1.004128813743591309e+00 2.615869417786598206e-02 -1.806512009352445602e-03 -2.977043151855468750e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.000000000000000000e+00 -1.001022934913635254e+00 2.592932619154453278e-02 -4.855654260609298944e-04 -2.951259374618530273e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.900000000000000355e+00 -9.963920712471008301e-01 2.567553333938121796e-02 5.626754718832671642e-04 -2.921818733215332031e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.800000000000000711e+00 -9.910306930541992188e-01 2.545966394245624542e-02 1.491907052695751190e-03 -2.889970541000366211e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.699999999999999289e+00 -9.876850247383117676e-01 2.524365484714508057e-02 2.778623485937714577e-03 -2.863708257675170898e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.599999999999999645e+00 -9.829229116439819336e-01 2.500500343739986420e-02 3.809116082265973091e-03 -2.834780931472778320e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.500000000000000000e+00 -9.777107834815979004e-01 2.480137348175048828e-02 4.768491256982088089e-03 -2.804421663284301758e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.400000000000000355e+00 -9.743808507919311523e-01 2.459754794836044312e-02 6.061122752726078033e-03 -2.779277324676513672e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.300000000000000711e+00 -9.690400362014770508e-01 2.437310852110385895e-02 6.991547998040914536e-03 -2.749098539352416992e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.199999999999999289e+00 -9.640721082687377930e-01 2.418239228427410126e-02 7.995610125362873077e-03 -2.719605445861816406e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.099999999999999645e+00 -9.610053896903991699e-01 2.399141341447830200e-02 9.333743713796138763e-03 -2.695430517196655273e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.000000000000000000e+00 -9.547592997550964355e-01 2.378169447183609009e-02 1.010419987142086029e-02 -2.662990331649780273e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.900000000000000355e+00 -9.500805735588073730e-01 2.360231056809425354e-02 1.115751173347234726e-02 -2.635409832000732422e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.799999999999999822e+00 -9.457949399948120117e-01 2.340814098715782166e-02 1.227249577641487122e-02 -2.609279870986938477e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.699999999999999289e+00 -9.400680065155029297e-01 2.323070913553237915e-02 1.313703972846269608e-02 -2.579172134399414062e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.599999999999999645e+00 -9.357975721359252930e-01 2.306265011429786682e-02 1.425539143383502960e-02 -2.553126335144042969e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.500000000000000000e+00 -9.302358627319335938e-01 2.287766151130199432e-02 1.514100376516580582e-02 -2.523901462554931641e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.400000000000000355e+00 -9.249854087829589844e-01 2.271988242864608765e-02 1.608473807573318481e-02 -2.495376586914062500e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.299999999999999822e+00 -9.203838706016540527e-01 2.255358919501304626e-02 1.713269017636775970e-02 -2.469467163085937500e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.199999999999999289e+00 -9.143761396408081055e-01 2.239596843719482422e-02 1.793900690972805023e-02 -2.440084218978881836e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.099999999999999645e+00 -9.096056222915649414e-01 2.225208096206188202e-02 1.895383000373840332e-02 -2.414186954498291016e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.000000000000000000e+00 -9.035965800285339355e-01 2.209476195275783539e-02 1.975072361528873444e-02 -2.385235309600830078e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.900000000000000355e+00 -8.980461955070495605e-01 2.196175605058670044e-02 2.062649093568325043e-02 -2.357506990432739258e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.799999999999999822e+00 -8.925315737724304199e-01 2.181824296712875366e-02 2.149809710681438446e-02 -2.330229520797729492e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.699999999999999289e+00 -8.864215016365051270e-01 2.169249393045902252e-02 2.227227762341499329e-02 -2.302084922790527344e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.599999999999999645e+00 -8.811752200126647949e-01 2.156910486519336700e-02 2.317844890058040619e-02 -2.276575565338134766e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.500000000000000000e+00 -8.745965361595153809e-01 2.144369110465049744e-02 2.386534959077835083e-02 -2.247594356536865234e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.400000000000000355e+00 -8.690490722656250000e-01 2.133530378341674805e-02 2.471159212291240692e-02 -2.221519470214843750e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.299999999999999822e+00 -8.625355958938598633e-01 2.121534571051597595e-02 2.539706416428089142e-02 -2.193074941635131836e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.199999999999999289e+00 -8.565245866775512695e-01 2.111600339412689209e-02 2.615788951516151428e-02 -2.166674137115478516e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.099999999999999645e+00 -8.502316474914550781e-01 2.100749872624874115e-02 2.686394564807415009e-02 -2.139936447143554688e+00 1.000000000000000000e+00 1.000000000000000000e+00
-6.000000000000000000e+00 -8.438844084739685059e-01 2.091678231954574585e-02 2.756032720208168030e-02 -2.113049983978271484e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.899999999999999467e+00 -8.376963734626770020e-01 2.082062326371669769e-02 2.826600149273872375e-02 -2.086888551712036133e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.799999999999999822e+00 -8.310849666595458984e-01 2.073723636567592621e-02 2.890934981405735016e-02 -2.059671401977539062e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.700000000000000178e+00 -8.249452114105224609e-01 2.065508067607879639e-02 2.960387989878654480e-02 -2.034662485122680664e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.599999999999999645e+00 -8.181161880493164062e-01 2.057760581374168396e-02 3.020096570253372192e-02 -2.007858037948608398e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.500000000000000000e+00 -8.119894862174987793e-01 2.051041461527347565e-02 3.087710402905941010e-02 -1.983135223388671875e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.399999999999999467e+00 -8.049821853637695312e-01 2.043808065354824066e-02 3.143366053700447083e-02 -1.956164479255676270e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.299999999999999822e+00 -7.987279891967773438e-01 2.038301900029182434e-02 3.207192197442054749e-02 -1.931902885437011719e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.199999999999999289e+00 -7.869107127189636230e-01 2.032513171434402466e-02 3.170617669820785522e-02 -1.898758888244628906e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.099999999999999645e+00 -7.689230442047119141e-01 2.030046284198760986e-02 3.014576621353626251e-02 -1.857301950454711914e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.000000000000000000e+00 -7.505117654800415039e-01 2.030121721327304840e-02 2.854415774345397949e-02 -1.815880298614501953e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.899999999999999467e+00 -7.334725856781005859e-01 2.025074325501918793e-02 2.721269056200981140e-02 -1.776942014694213867e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.799999999999999822e+00 -7.154321670532226562e-01 2.023327536880970001e-02 2.567581459879875183e-02 -1.737428307533264160e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.699999999999999289e+00 -6.981636285781860352e-01 2.020369283854961395e-02 2.433546818792819977e-02 -1.699576258659362793e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.599999999999999645e+00 -6.812314391136169434e-01 2.015969343483448029e-02 2.306097745895385742e-02 -1.662544369697570801e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.500000000000000000e+00 -6.625538468360900879e-01 2.014390751719474792e-02 2.143711224198341370e-02 -1.624548792839050293e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.399999999999999467e+00 -6.472393870353698730e-01 2.008620090782642365e-02 2.052804268896579742e-02 -1.590746283531188965e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.299999999999999822e+00 -6.296722888946533203e-01 2.004371024668216705e-02 1.916618645191192627e-02 -1.555135011672973633e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.199999999999999289e+00 -6.122813820838928223e-01 2.000741288065910339e-02 1.784041523933410645e-02 -1.520412683486938477e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.099999999999999645e+00 -5.971140265464782715e-01 1.994553394615650177e-02 1.700814813375473022e-02 -1.488626241683959961e+00 1.000000000000000000e+00 1.000000000000000000e+00
